isShowcaseListing,longitude,timeOnZillow,zestimate,daysOnZillow,zpid,taxAssessedValue,isUnmappable,priceForHDP,dateSold,state,isFeatured,isPremierBuilder,isPreforeclosureAuction,lotAreaValue,isNonOwnerOccupied,homeStatus,latitude,lotAreaUnit,bedrooms,zipcode,homeStatusForHDP,isZillowOwned,shouldHighlight,homeType,bathrooms,rentZestimate,price,city,streetAddress,country,currency,listing_sub_type,livingArea
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
False,-79.201256,40872303000.0,,473,2061732180,,False,599649,1671091200000,ON,False,False,False,,True,RECENTLY_SOLD,44.54577,,3.0,L0K1B0,FOR_SALE,False,False,TOWNHOUSE,3.0,,0,Ramara,31 Laguna Pkwy #21,CAN,CAD,{'is_FSBA': True},
False,-79.71451,46488303000.0,,538,2061536811,,False,0,1665471600000,ON,False,False,False,2308.0,True,RECENTLY_SOLD,44.352398,sqft,2.0,L4N8K1,RECENTLY_SOLD,False,False,TOWNHOUSE,2.0,,0,Barrie,6 Hawthorne Cres,CAN,CAD,{},1379.0
False,-80.2646021975,30072562000.0,,348,2068470186,,False,340000,1681887600000,ON,False,False,False,,True,RECENTLY_SOLD,43.138603100000005,,2.0,N3T2G6,RECENTLY_SOLD,False,False,APARTMENT,1.0,,340000,Brantford,150 Colborne St #302,CAN,CAD,{},700.0
False,-79.379207,32923762000.0,,381,2066646999,,False,865000,1679036400000,ON,False,False,False,,True,RECENTLY_SOLD,43.654711,,2.0,M5B2R3,RECENTLY_SOLD,False,False,APARTMENT,2.0,,865000,Toronto,210 Victoria St #3201,CAN,CAD,{},
False,-79.38171,33614962000.0,,389,2060697441,,False,560000,1678348800000,ON,False,False,False,,True,RECENTLY_SOLD,43.64877,,1.0,M5A0G2,RECENTLY_SOLD,False,False,APARTMENT,1.0,,560000,Toronto,455 Front St E #S316,CAN,CAD,{},
False,-80.52336510627468,37330162000.0,,432,2062693841,,False,356796,1674633600000,ON,False,False,False,,True,RECENTLY_SOLD,43.47045795,,1.0,N2J2X9,RECENTLY_SOLD,False,False,APARTMENT,1.0,,356796,Waterloo,128 King St N #1011,CAN,CAD,{},
False,-79.62012,37848562000.0,,438,2070186051,,False,0,1674115200000,ON,False,False,False,,True,RECENTLY_SOLD,43.521197,,2.0,L5J0B1,RECENTLY_SOLD,False,False,APARTMENT,2.0,,0,Mississauga,1575 Lakeshore Rd W #335,CAN,CAD,{},
False,-79.8606724,38971762000.0,,451,2061975120,,False,0,1672992000000,ON,False,False,False,,True,RECENTLY_SOLD,43.5373266,,1.0,L9T0B4,RECENTLY_SOLD,False,False,APARTMENT,1.0,,0,Milton,1471 Maple Ave #208,CAN,CAD,{},711.0
False,-79.42825108987651,46229362000.0,,535,2079631255,,False,0,1665730800000,ON,False,False,False,,True,RECENTLY_SOLD,43.6431587,,2.0,M6J0E5,RECENTLY_SOLD,False,False,APARTMENT,2.0,,0,Toronto,20 Minowan Miikan Ln,CAN,CAD,{},780.0
False,-79.386612,46661362000.0,,540,2067831476,,False,1635000,1665298800000,ON,False,False,False,,True,RECENTLY_SOLD,43.67884,,1.0,M4W1V7,RECENTLY_SOLD,False,False,APARTMENT,1.0,,1635000,Toronto,66 Roxborough St E #101,CAN,CAD,{},
False,-79.70281557330352,47352562000.0,,548,2061935268,,False,0,1664607600000,ON,False,False,False,,True,RECENTLY_SOLD,44.35279305600109,,1.0,L4N6W2,RECENTLY_SOLD,False,False,APARTMENT,1.0,,0,Barrie,30 Loggers Run #1,CAN,CAD,{},559.0
False,-79.27082483,47698162000.0,,552,2066521659,,False,1035500,1664262000000,ON,False,False,False,,True,RECENTLY_SOLD,43.696559,,2.0,M1L4G6,RECENTLY_SOLD,False,False,APARTMENT,1.0,,1035500,Toronto,15 Mystic Ave,CAN,CAD,{},
